UID No,Manufacturer,Engine Identification,Combustor Description,Eng Type,B/P Ratio,Pressure Ratio,Rated Thrust (kN),Fuel Flow T/O (kg/sec),Fuel Flow C/O (kg/sec),Fuel Flow App (kg/sec),Fuel Flow Idle (kg/sec),Fuel LTO Cycle (kg)  ,Fuel Heat of Combustion (MJ/kg),Fuel Hydrogen Content (% mass),Fuel Aromatics Content (% vol),Fuel Naphthalene Content (% vol),Fuel Sulphur Content (ppm by mass),nvPM EImass T/O (mg/kg),nvPM EImass C/O (mg/kg),nvPM EImass App (mg/kg),nvPM EImass Idle (mg/kg),nvPM EImass Max (mg/kg),nvPM EInum T/O (#/kg),nvPM EInum C/O (#/kg),nvPM EInum App (#/kg),nvPM EInum Idle (#/kg),nvPM EInum Max (#/kg),nvPM EImass_SL T/O (mg/kg),nvPM EImass_SL C/O (mg/kg),nvPM EImass_SL App (mg/kg),nvPM EImass_SL Idle (mg/kg),nvPM EInum_SL T/O (#/kg),nvPM EInum_SL C/O (#/kg),nvPM EInum_SL App (#/kg),nvPM EInum_SL Idle (#/kg),Ambient Baro Min (kPa),Ambient Baro Max (kPa),Ambient Temp Min (K),Ambient Temp Max (K),max_nvpm_ei_m_between_30_85,max_nvpm_ei_n_between_30_85
01P11PJ004,PowerJet S.A.,SaM146-1S18,,MTF,4.38,22.8,72.7,0.841,0.691,0.238,0.1,339.0,43.1,13.77,17.87,1.37,694.0,166.0,124.0,2.68,1.65,166.0,1030000000000000.0,1090000000000000.0,130000000000000.0,52300000000000.0,1110000000000000.0,193.0,149.0,4.29,2.38,2580000000000000.0,3050000000000000.0,785000000000000.0,256000000000000.0,99.3,100.4,286.4,299.2,0,0
01P10IA019,International Aero Engines,V2522-A5 SelectOne™ Upgrade Package,Floatwall,MTF,4.9,25.7,102.5,0.9714182221822223,0.8149067784869444,0.3096938643833333,0.1295558121683333,424.80085452653,43.22,13.83,16.6,2.38,540.0,279.1137231279469,372.0247395635967,211.42791917251324,77.75083325343074,448.87122662160306,1246693825575885.2,1571481494890349.0,2240589650490963.0,1666323001404904.2,2868338024778810.5,316.5220669570638,420.77437289177345,256.29938466857385,103.26601863659353,2966361383561175.0,3705389835633718.5,7179361223341967.0,7163351305306149.0,100.89,101.62,275.8,278.2,0,0
01P10IA020,International Aero Engines,V2524-A5 SelectOne™ Upgrade Package,Floatwall,MTF,4.8,27.0,108.9,1.04,0.867,0.326,0.133,443.84400000000005,43.22,13.83,16.6,2.38,540.0,239.28901220475905,340.22942997327857,235.44857584726927,72.94054071995039,448.7107135734127,1101686501910285.9,1442038064353255.8,2368416363926854.0,1605252801943651.8,2867254247112753.5,271.7689101120967,384.8450850845899,283.9402293116137,97.30546302928393,2642306591349189.5,3393673593509933.5,7406491282542116.0,6968867496258896.0,100.89,101.62,275.8,278.2,0,0
01P10IA021,International Aero Engines,V2527-A5 SelectOne™ Upgrade Package,Floatwall,MTF,4.8,27.1,110.3,1.049,0.873,0.328,0.134,447.05400000000003,43.22,13.83,16.6,2.38,540.0,230.68086412774662,333.01416314185457,240.76894656756312,71.94211703206423,448.78567405363856,1064523116147190.4,1417076236355622.8,2395510058842076.0,1592496352933298.2,2867553649426688.5,262.01809730543914,376.7525306335192,290.0454066703663,96.0676789621398,2555690324566496.0,3336800440794626.5,7453865850245901.0,6927922942707823.0,100.89,101.62,275.8,278.2,0,0
01P10IA022,International Aero Engines,V2527-A5E SelectOne™ Upgrade Package,Floatwall,MTF,4.8,27.1,110.3,1.049,0.873,0.328,0.134,447.05400000000003,43.22,13.83,16.6,2.38,540.0,230.68086412774662,333.01416314185457,240.76894656756312,71.94211703206423,448.78567405363856,1064523116147190.4,1417076236355622.8,2395510058842076.0,1592496352933298.2,2867553649426688.5,262.01809730543914,376.7525306335192,290.0454066703663,96.0676789621398,2555690324566496.0,3336800440794626.5,7453865850245901.0,6927922942707823.0,100.89,101.62,275.8,278.2,0,0
01P10IA023,International Aero Engines,V2527-A5M SelectOne™ Upgrade Package,Floatwall,MTF,4.8,27.1,110.3,1.049,0.873,0.328,0.134,447.05400000000003,43.22,13.83,16.6,2.38,540.0,230.68086412774662,333.01416314185457,240.76894656756312,71.94211703206423,448.78567405363856,1064523116147190.4,1417076236355622.8,2395510058842076.0,1592496352933298.2,2867553649426688.5,262.01809730543914,376.7525306335192,290.0454066703663,96.0676789621398,2555690324566496.0,3336800440794626.5,7453865850245901.0,6927922942707823.0,100.89,101.62,275.8,278.2,0,0
01P10IA024,International Aero Engines,V2530-A5 SelectOne™ Upgrade Package,Floatwall,MTF,4.6,32.0,133.0,1.314438805248889,1.070859775251111,0.38494639470222225,0.14465144638311112,514.6033112397866,43.22,13.83,16.6,2.38,540.0,114.1180317614738,215.43189522730998,320.52331965871053,59.22484658965248,450.25732675901327,339353850871619.5,990818320518098.0,2731664079183244.5,1424783792089934.2,2873863586235680.0,126.92796005703595,244.64345459650448,380.5993535369975,80.25515325845198,726482482939015.2,2379901207327055.5,7969629096264320.0,6371690402016937.0,100.89,101.62,275.8,278.2,0,0
01P10IA025,International Aero Engines,V2533-A5 SelectOne™ Upgrade Package,Floatwall,MTF,4.5,33.7,140.6,1.4332546899777776,1.1423021564166667,0.40460640010916665,0.14699599487611112,537.399869659,43.22,13.83,16.6,2.38,540.0,96.74543401918733,178.45937013223224,343.9309743153644,56.24751537228128,450.6436161611377,506566989986252.3,771327616673085.6,2798518132669061.5,1382702355554480.0,2875517430007769.5,110.41645028143289,201.95222213359045,406.7420717066262,76.5270926625037,1232253056940656.0,1833924459381041.2,8028684152330631.0,6223559445393821.0,100.89,101.62,275.8,278.2,0,0
04P10IA027,International Aero Engines,V2530-A5 SelectOne™ Upgrade Package,Floatwall,MTF,4.6,32.0,133.0,1.325,1.078,0.387,0.145,517.0260000000001,43.22,13.83,16.6,2.38,540.0,114.1180317614738,215.43189522730998,320.52331965871053,59.22484658965248,450.25732675901327,339353850871619.5,990818320518098.0,2731664079183244.5,1424783792089934.2,2873863586235680.0,126.92796005703595,244.64345459650448,380.5993535369975,80.25515325845198,726482482939015.2,2379901207327055.5,7969629096264320.0,6371690402016937.0,100.89,101.62,275.8,278.2,0,0
01P14IA026,International Aero Engines,V2531-E5,Floatwall,MTF,4.53,32.29,134.77,1.3290059742805556,1.079024461458333,0.39145104273666664,0.14395051601777778,516.7605350768166,43.22,13.83,16.6,2.38,540.0,108.32626956469717,206.5187975389973,326.20301592978973,58.469957755153054,450.35209298331694,330125880552175.8,943406065212827.4,2749511051656953.5,1414293902337183.0,2874269390439001.5,120.5622505348872,234.42651079024157,386.96478671288486,79.31161521433131,710099877016607.5,2264350755513807.5,7988778373602911.0,6335249389857667.0,100.89,101.62,275.8,278.2,0,0
