UID No,Manufacturer,Engine Identification,Combustor Description,Eng Type,B/P Ratio,Pressure Ratio,Rated Thrust (kN),Fuel Flow T/O (kg/sec),Fuel Flow C/O (kg/sec),Fuel Flow App (kg/sec),Fuel Flow Idle (kg/sec),NOx EI T/O (g/kg),NOx EI C/O (g/kg),NOx EI App (g/kg),NOx EI Idle (g/kg),CO EI T/O (g/kg),CO EI C/O (g/kg),CO EI App (g/kg),CO EI Idle (g/kg),HC EI T/O (g/kg),HC EI C/O (g/kg),HC EI App (g/kg),HC EI Idle (g/kg),SN T/O,SN C/O,SN App,SN Idle,SN Max,Ambient Baro Min (kPa),Ambient Baro Max (kPa),Ambient Temp Min (K),Ambient Temp Max (K),Humidity Min (kg/kg),Humidity Max (kg/kg)
1CM007,CFM International,CFM56-3C-1,,TF,5.1,25.5,104.6,1.154,0.954,0.336,0.124,20.7,17.8,9.1,4.3,0.9,0.9,3.1,26.8,0.03,0.04,0.07,1.42,7.7,3.9,2.5,2.3,7.7,95.98,97.49,279,286,0.002,0.009
1CM006,CFM International,CFM56-3C-1 (Rerated),,TF,5.1,21.3,82.29,0.872,0.732,0.273,0.111,16.6,14.7,8,3.8,0.9,1,4.2,38.1,0.05,0.05,0.08,2.86,3,2.4,2.5,2.1,3,95.98,97.49,279,286,0.002,0.009
1CM008,CFM International,CFM56-5-A1,,TF,6,26.6,111.2,1.051,0.862,0.291,0.1011,24.6,19.6,8,4,0.9,0.9,2.5,17.6,0.23,0.23,0.4,1.4,15.8,14,4.4,2.3,15.8,94.7,95.6,280,291,0.0026,0.0034
1CM009,CFM International,CFM56-5A3,,TF,6,27.9,117.88,1.131,0.925,0.307,0.1044,26.4,21.1,8.3,4.1,0.9,0.9,2.4,16.2,0.2,0.2,0.3,1.3,16.8,14.6,4.8,2.7,16.8,94.7,95.6,280,291,0.0026,0.0034
4CM035,CFM International,CFM56-5A4,,TF,6,23.8,97.89,0.897,0.74,0.261,0.095,22.64,19.11,8.51,4.04,1.1,1.1,3.1,20.3,0.23,0.23,0.5,1.75,13.9,11.6,4.2,2.4,13.9,94.7,95.6,280,291,0.0026,0.0034
4CM036,CFM International,CFM56-5A5,,TF,6,25.1,104.53,0.972,0.799,0.276,0.098,24.79,19.98,8.94,4.29,1.1,1.1,2.8,18.5,0.23,0.23,0.45,1.53,14.3,12.6,4.4,2.4,14.3,94.7,95.6,280,291,0.0026,0.0034
2CM012,CFM International,CFM56-5B1,,TF,5.7,30.2,133.45,1.359,1.113,0.364,0.117,35.1,27.2,10.8,4.6,0.5,0.5,1.57,28.4,0.1,0.1,0.12,3.21,8.6,10.5,0,0,10.5,97.49,98.18,283.4,293.9,0.0067,0.0076
2CM016,CFM International,CFM56-5B1/2,DAC,TF,5.7,30.2,133.45,1.345,1.104,0.369,0.129,27.75,14.91,7.02,4.73,0.6,2.5,38.4,34,0.1,0.1,9.1,1.7,0.5,0.5,2.3,3.5,4.75,100.67,101.01,293,299,0.0114,0.0129
3CM020,CFM International,CFM56-5B1/2P,DAC-II,TF,5.7,30.5,133.5,1.32,1.07,0.37,0.12,23.3,16.4,7.3,4.1,0.8,1.9,23.1,36.5,0.1,0.1,3.7,2.9,0.5,0.3,0.5,2.1,2.1,98.5,99.74,284.6,292.4,0.0081,0.0115
3CM023,CFM International,CFM56-5B1/P,,TF,5.7,30.47,133.45,1.295,1.058,0.345,0.11,33,26.2,10.7,4.5,0.9,0.9,2,19.8,0.1,0.2,0.5,3.7,4.9,5.2,0.2,0.5,5.4,98.2,99.6,281.5,283.6,0.0065,0.0075
