UID No,Manufacturer,Engine Identification,Combustor Description,Eng Type,B/P Ratio,Pressure Ratio,Rated Thrust (kN),Fuel Flow T/O (kg/sec),Fuel Flow C/O (kg/sec),Fuel Flow App (kg/sec),Fuel Flow Idle (kg/sec),Fuel LTO Cycle (kg)  ,Fuel Heat of Combustion (MJ/kg),Fuel Hydrogen Content (% mass),Fuel Aromatics Content (% vol),nvPM EImass T/O (mg/kg),nvPM EImass C/O (mg/kg),nvPM EImass App (mg/kg),nvPM EImass Idle (mg/kg),nvPM EImass Max (mg/kg),nvPM EInum T/O (#/kg),nvPM EInum C/O (#/kg),nvPM EInum App (#/kg),nvPM EInum Idle (#/kg),nvPM EInum Max (#/kg),nvPM EImass_SL T/O (mg/kg),nvPM EImass_SL C/O (mg/kg),nvPM EImass_SL App (mg/kg),nvPM EImass_SL Idle (mg/kg),nvPM EInum_SL T/O (#/kg),nvPM EInum_SL C/O (#/kg),nvPM EInum_SL App (#/kg),nvPM EInum_SL Idle (#/kg),Ambient Baro Min (kPa),Ambient Baro Max (kPa),Ambient Temp Min (K),Ambient Temp Max (K)
01P20CM129,CFM International,LEAP-1A26CJ,TAPS II,TF,10.8,33.27215,120.6357739,0.860940254,0.709926554,0.243730791,0.091100552,330.482046,43.26,13.69,16.5,1.357563364,1.082435584,1.973576267,0.574178973,7.603222645,89128532968.0,76682057125.0,68900000000000.0,3710000000000.0,219000000000000.0,1.627025671,1.235175411,2.988555874,0.68386059,120000000000.0,100000000000.0,457000000000000.0,10900000000000.0,97.8,98.8,274.6,279.8
01P20CM130,CFM International,LEAP-1A29,TAPS II,TF,10.7,35.5023,130.2883858,0.945866435,0.777285192,0.261129424,0.094368016,352.2132026,43.26,13.69,16.5,1.821049822,1.157553052,2.937417985,0.582452189,7.57233816,117000000000.0,78699075841.0,98500000000000.0,6370000000000.0,218000000000000.0,2.189466328,1.370354629,4.424721232,0.687331577,156000000000.0,107000000000.0,644000000000000.0,17900000000000.0,97.8,98.8,274.6,279.8
01P20CM131,CFM International,LEAP-1A29CJ,TAPS II,TF,10.7,35.5023,130.2883858,0.945866435,0.777285192,0.261129424,0.094368016,352.2132026,43.26,13.69,16.5,1.821049822,1.157553052,2.937417985,0.582452189,7.57233816,117000000000.0,78699075841.0,98500000000000.0,6370000000000.0,218000000000000.0,2.189466328,1.370354629,4.424721232,0.687331577,156000000000.0,107000000000.0,644000000000000.0,17900000000000.0,97.8,98.8,274.6,279.8
01P20CM132,CFM International,LEAP-1A35A/33/33B2/32/30,TAPS II,TF,10.45,38.51118,143.0548288,1.061654457,0.869312169,0.283853704,0.0980881,380.481019,43.26,13.69,16.5,2.975456391,1.363594977,4.810871177,0.621810813,7.538040135,182000000000.0,89438008911.0,150000000000000.0,11500000000000.0,217000000000000.0,3.585504085,1.635045706,7.066721194,0.769433511,244000000000.0,120000000000.0,922000000000000.0,45900000000000.0,97.8,98.8,274.6,279.8
01P20CM133,CFM International,LEAP-1B21,TAPS II,TF,8.5203,36.818,111.2678251,0.876656496,0.721968714,0.245381164,0.089059188,329.9432555,43.27,13.84,14.8,0.014330994,0.009869477,1.990428151,0.225902318,3.762691603,25857377175.0,29468736162.0,76600000000000.0,24800000000000.0,117000000000000.0,0.015774062,0.009869477,3.136626854,0.512917797,40966407455.0,29468736162.0,560000000000000.0,473000000000000.0,98.02,98.16,290.6,296.5
01P20CM134,CFM International,LEAP-1B23,TAPS II,TF,8.4621,37.924,115.2400874,0.916194678,0.752107443,0.253482838,0.090699682,340.0857442,43.27,13.84,14.8,0.017136913,0.01194381,2.33834766,0.212637088,3.764629539,26129629859.0,28099642463.0,88900000000000.0,23000000000000.0,117000000000000.0,0.018948706,0.01194381,3.623647604,0.482798706,40011969171.0,28099642463.0,624000000000000.0,439000000000000.0,98.02,98.16,290.6,296.5
01P20CM135,CFM International,LEAP-1B25,TAPS II,TF,8.3551,40.135,119.1500745,0.959827796,0.784488937,0.260135534,0.090543445,347.5456088,43.27,13.84,14.8,0.026280259,0.012745168,2.704051347,0.204646731,3.766411783,27125828562.0,26833798776.0,100000000000000.0,21700000000000.0,117000000000000.0,0.02906917,0.014013984,4.12159997,0.464656367,41247182550.0,43093409083.0,675000000000000.0,415000000000000.0,98.02,98.16,290.6,296.5
01P20CM136,CFM International,LEAP-1B27,TAPS II,TF,8.3489,40.491,124.7148002,1.013540756,0.825992688,0.273100731,0.094601841,364.7227943,43.27,13.84,14.8,0.035428315,0.013213371,3.236561923,0.198418635,3.768756872,27971199359.0,26241112758.0,111000000000000.0,20000000000000.0,117000000000000.0,0.039047718,0.014535018,4.8324903,0.418728789,45131667676.0,41535514743.0,713000000000000.0,305000000000000.0,98.02,98.16,290.6,296.5
01P20CM137,CFM International,LEAP-1B28B2C,TAPS II,TF,8.3489,40.491,124.7148002,1.013540756,0.825992688,0.273100731,0.094601841,364.7227943,43.27,13.84,14.8,0.035428315,0.013213371,3.236561923,0.198418635,3.768756872,27971199359.0,26241112758.0,111000000000000.0,20000000000000.0,117000000000000.0,0.039047718,0.014535018,4.8324903,0.418728789,45131667676.0,41535514743.0,713000000000000.0,305000000000000.0,98.02,98.16,290.6,296.5
01P20CM138,CFM International,LEAP-1B28BBJ1,TAPS II,TF,8.2938,41.991,130.4085244,1.0747254,0.87256156,0.285171342,0.096910125,379.93751,43.27,13.84,14.8,0.055683165,0.014250849,3.809285913,0.202027603,3.809,29437187011.0,26005170966.0,118000000000000.0,19100000000000.0,117000000000000.0,0.061429241,0.015692473,5.555439587,0.421650281,47977837018.0,41652139616.0,712000000000000.0,281000000000000.0,98.02,98.16,290.6,296.5
