aircraft_type,engine_uid,engine_name,n_engine
H25B,1AS002,TFE731-5BR-1H,2
H25C,1AS001,TFE731-40AR,2
HA4T,01P07PW145,PW308A,2
IL62,3GE074,CF6-50C2,2
IL76,1AA002,D-30KP-II,4
IL86,1KK003,NK-86,4
IL96,1AA005,PS-90A,4
J328,01P06AL030,AE 3007A1/3,2
K35,1PW001,JT4A-9,4
K35A,1PW001,JT4A-9,4
K35E,1PW001,JT4A-9,4
K35R,1PW001,JT4A-9,4
KC2,1PW001,JT4A-9,4
KE3,1CM003,CFM56-2C1,4
L101,1RR002,RB211-22B,3
L29A,01P05GE189,CF34-3B,2
L29B,01P05GE189,CF34-3B,2
LJ31,1AS001,TFE731-20R-1B,2
LJ35,1AS001,TFE731-22B,2
LJ40,1AS001,TFE731-20R-1B,2
LJ45,1AS001,TFE731-20R-1B,2
LJ55,7PW077,PW305A,2
LJ60,7PW077,PW305A,2
LJ70,1AS002,TFE731-4R-2S,2
LJ75,1AS002,TFE731-4R-2S,2
LJ85,1AS001,TFE731-40,3
MC23,01P22PW163,PW1127G,2
MD11,1PW052,PW4460,3
MD81,4PW070,JT8D-217C,2
MD82,4PW070,JT8D-217C,2
MD83,1PW019,JT8D-219,2
MD87,4PW070,JT8D-217C,2
MD88,4PW070,JT8D-217C,2
MD90,1PW019,JT8D-219,2
MRJ7,13ZM003,D-436-148,2
MRJ9,13ZM003,D-436-148,2
MU30,1PW038,JT15D-5R,2
NIM,01P11CM116,CFM56-7B26/27,2
P1,01P20CM136,LEAP-1B27,2
P8,01P11CM116,CFM56-7B26/27,2
P8A,01P11CM116,CFM56-7B26/27,2
PC24,1PW037,JT15D-5A,2
Q25,1GE035,CF34-3A1,2
Q4,8AL025,AE 3007H,1
R135,1PW001,JT4A-9,4
R721,1PW019,JT8D-219,2
R722,4BR002,JT8D-15,3
RJ1H,1TL004,LF 507-1F,4
RJ70,1TL004,LF 507-1F,4
RJ85,1TL004,LF 507-1F,4
S210,20PW134,PW1919G,2
SLCH,01P18RR103,Trent 900,4
SU95,01P11PJ003,SaM146-1S17,2
T134,1AA001,D-30-III,2
T154,1AA004,D-30KU-154-II,3
T204,1AA005,PS-90A,2
VC10,1PW001,JT4A-9,4
Y20,1PW043,PW4060,2
YK42,1ZM001,D-36,3
