longitude,latitude,altitude,time
-77.03594970703125,38.82931466829979,236.22,2022-03-01 00:50:00
-77.03822260317594,38.77267456054688,708.6600000000001,2022-03-01 00:51:00
-77.11423127547556,38.74456787109375,9471.66,2022-03-01 00:52:00
-77.20196533203125,38.7398878194518,2019.3,2022-03-01 00:53:00
-77.28619119395381,38.7451171875,3032.76,2022-03-01 00:54:00
-77.38357543945312,38.76663208007812,3436.62,2022-03-01 00:55:00
-77.49558821968412,38.79130554199219,4305.3,2022-03-01 00:56:00
-77.61225824770719,38.81698608398438,5090.16,2022-03-01 00:57:00
-77.73316756538725,38.83090209960938,5318.76,2022-03-01 00:58:00
-77.85765938136888,38.84262084960938,6149.34,2022-03-01 00:59:00
-78.11745021654212,38.85191345214844,7566.660000000001,2022-03-01 01:01:00
-78.2523909859035,38.854248046875,8115.3,2022-03-01 01:02:00
-78.38870504628056,38.85067749023438,8801.1,2022-03-01 01:03:00
-78.521436608356,38.82939147949219,9395.46,2022-03-01 01:04:00
-78.65088421365488,38.80810546875,10005.06,2022-03-01 01:05:00
-78.77850341796875,38.78685902740995,10363.2,2022-03-01 01:06:00
-78.90536100968069,38.765625,10363.2,2022-03-01 01:07:00
-79.031494140625,38.74444993875795,10660.38,2022-03-01 01:08:00
-79.15374755859375,38.72369384765625,11170.92,2022-03-01 01:09:00
-79.27979179050612,38.70245361328125,11353.8,2022-03-01 01:10:00
-79.40631368885869,38.68148803710938,11582.4,2022-03-01 01:11:00
-79.5357666015625,38.66005073159427,11582.4,2022-03-01 01:12:00
-79.66424560546875,38.63863670219809,11582.4,2022-03-01 01:13:00
-79.79328321373981,38.61570739746094,11582.4,2022-03-01 01:14:00
-79.92523856784987,38.59231567382812,11582.4,2022-03-01 01:15:00
-80.0570068359375,38.56838937533104,11582.4,2022-03-01 01:16:00
-80.19052256708557,38.543701171875,11582.4,2022-03-01 01:17:00
-80.32373046875,38.51895089876854,11582.4,2022-03-01 01:18:00
-80.45562744140625,38.49440002441406,11582.4,2022-03-01 01:19:00
-80.58795166015625,38.46965207891949,11582.4,2022-03-01 01:20:00
-80.72306093962294,38.44404602050781,11582.4,2022-03-01 01:21:00
-80.85565185546875,38.41853772179555,11582.4,2022-03-01 01:22:00
-80.98852279338428,38.3931884765625,11582.4,2022-03-01 01:23:00
-81.11813809009305,38.36723327636719,11582.4,2022-03-01 01:24:00
-81.25219466838428,38.33464050292969,11582.4,2022-03-01 01:25:00
-81.38504691745925,38.30243644067797,11582.4,2022-03-01 01:26:00
-81.514195981233,38.27096712791313,11582.4,2022-03-01 01:27:00
-81.64573337720788,38.23852021815413,11582.4,2022-03-01 01:28:00
-81.77571835725206,38.20449053230932,11582.4,2022-03-01 01:29:00
-81.90330992353722,38.16874694824219,11582.4,2022-03-01 01:30:00
-82.030553403108,38.13275353383209,11582.4,2022-03-01 01:31:00
-82.15763173204783,38.09683227539062,11582.4,2022-03-01 01:32:00
-82.28339012632978,38.06112670898438,11582.4,2022-03-01 01:33:00
-82.41125228557178,38.02464294433594,11582.4,2022-03-01 01:34:00
-82.53879049549931,37.98788296974311,11582.4,2022-03-01 01:35:00
-82.66782014266306,37.95050152277542,11582.4,2022-03-01 01:36:00
-82.79696920643681,37.91312007580773,11582.4,2022-03-01 01:37:00
-82.92450614597487,37.87564552436441,11582.4,2022-03-01 01:38:00
-83.05461054262906,37.83612267445709,11582.4,2022-03-01 01:39:00
-83.18158088846405,37.79791259765625,11582.4,2022-03-01 01:40:00
-83.30827428939494,37.760009765625,11582.4,2022-03-01 01:41:00
-83.43626602836275,37.72337315446239,11582.4,2022-03-01 01:42:00
-83.56347266663897,37.68635559082031,11582.4,2022-03-01 01:43:00
-83.68999075382311,37.64964294433594,11582.4,2022-03-01 01:44:00
-83.81645040309172,37.61247253417969,11582.4,2022-03-01 01:45:00
-83.94396574600881,37.57487151582362,11582.4,2022-03-01 01:46:00
-84.07188253199797,37.53717041015625,11582.4,2022-03-01 01:47:00
-84.19927718791553,37.49917602539062,11582.4,2022-03-01 01:48:00
-84.32597948157269,37.46072542869438,11582.4,2022-03-01 01:49:00
-84.454053795856,37.42017842955509,11582.4,2022-03-01 01:50:00
-84.58141161047894,37.37986419160487,11582.4,2022-03-01 01:51:00
-84.70912767493206,37.33936374470339,11582.4,2022-03-01 01:52:00
-84.83714228091031,37.29867708885063,11582.4,2022-03-01 01:53:00
-84.96563455332881,37.2580369852357,11582.4,2022-03-01 01:54:00
-85.093470034392,37.21707101595604,11582.4,2022-03-01 01:55:00
-85.22357443104619,37.18704482256356,11582.4,2022-03-01 01:56:00
-85.3544779026762,37.16020202636719,11582.4,2022-03-01 01:57:00
-85.48526195769614,37.13296508789062,11582.4,2022-03-01 01:58:00
-85.61622132646278,37.10545349121094,11582.4,2022-03-01 01:59:00
-85.87815657905912,37.05041400456832,11582.4,2022-03-01 02:01:00
-86.00886568110036,37.02264404296875,11582.4,2022-03-01 02:02:00
-86.14027603812838,36.9943651102357,11582.4,2022-03-01 02:03:00
-86.27090129446475,36.96592712402344,11582.4,2022-03-01 02:04:00
-86.40191783075744,36.93771103681144,11582.4,2022-03-01 02:05:00
-86.52927564538044,36.89814163466631,11582.4,2022-03-01 02:06:00
-86.65501371343083,36.85281372070312,11582.4,2022-03-01 02:07:00
-86.78060531616211,36.80744934082031,11582.4,2022-03-01 02:08:00
-86.90425142328786,36.76276772709216,11582.4,2022-03-01 02:09:00
-87.0280229284408,36.71751895193326,11582.4,2022-03-01 02:10:00
