ICAO,Manufacturer,Type,n_engine,winglets,WV,MTOM_kg,MLM_kg,MZFM_kg,OEM_i_kg,MPM_i_kg,MZFM_MTOM,OEM_i_MTOM,MPM_i_MTOM,Sref_m2,span_m,bf_m,delta_2,cos_sweep,AR,psi_0,Xo,wing_constant,j_2,j_1,CL_o,etaL_D_do,nominal_F00_ISA_kn,mf_max_T_O_SLS_kg_s,mf_idle_SLS_kg_s,M_des,CT_des,eta_1,eta_2,Mec,Tec,TET_max_climb_K,FL_max,MMO,vcas_asl_asl_isa,pi_max_pa,pinf_co_pa
B733,Boeing,B737-300,2,no,3,61236,51710,48308,32904,15404,0.789,0.537,0.252,102,28.9,3.76,0.034,0.9063,8.19,9.200,1.024,0.715,0.867,0.072,0.578,3.942,187.3,2.01,0.23,0.729,0.0384,0.311,0.534,0.688,5.642,1497,390.0,0.820,0.5244,20883,37618
B734,Boeing,B737-400,2,no,6,68039,56246,53070,33643,19427,0.780,0.494,0.286,102.5,28.9,3.76,0.034,0.9063,8.15,8.898,1.017,0.718,0.868,0.073,0.565,4.129,190.1,2.05,0.24,0.729,0.0365,0.316,0.534,0.688,5.650,1539,370.0,0.820,0.5244,20883,37618
B735,Boeing,B737-500,2,no,3,60555,49895,46494,31312,15182,0.768,0.517,0.251,103.7,28.9,3.76,0.034,0.9063,8.05,8.335,1.009,0.721,0.870,0.074,0.550,4.109,187.3,2.01,0.23,0.729,0.0346,0.306,0.534,0.688,5.621,1549,370.0,0.820,0.5244,20883,37618
B736,Boeing,B737-600,2,no,3,65544,55112,51936,36378,15558,0.792,0.555,0.237,124.6,34.3,3.76,0.024,0.9063,9.44,7.425,0.994,0.759,0.871,0.075,0.564,5.030,190.0,1.88,0.20,0.758,0.0310,0.320,0.527,0.695,6.209,1615,410.0,0.820,0.5244,20883,37618
B737,Boeing,B737-700,2,no,3,70080,58604,55202,37648,17554,0.788,0.537,0.250,124.6,34.3,3.76,0.024,0.9063,9.44,7.611,0.997,0.758,0.871,0.075,0.567,5.086,214.1,2.18,0.21,0.758,0.0315,0.327,0.531,0.691,5.936,1615,410.0,0.820,0.5244,20883,37618
B738,Boeing,B737-800,2,no,3,79016,66361,61689,41413,20276,0.781,0.524,0.257,124.6,34.3,3.76,0.024,0.9063,9.44,8.182,1.005,0.754,0.870,0.074,0.581,4.999,233.4,2.43,0.22,0.758,0.0335,0.334,0.533,0.688,5.860,1615,410.0,0.820,0.5244,20883,37618
B739,Boeing,B737-900ER,2,no,2,85139,71350,67721,44676,23045,0.795,0.525,0.271,124.6,34.32,3.76,0.024,0.9063,9.45,7.928,1.000,0.756,0.870,0.075,0.571,5.022,233.4,2.43,0.22,0.758,0.0320,0.326,0.533,0.688,5.947,1672,410.0,0.820,0.5244,20883,37618
B742,Boeing,B747-200B,4,no,4,371900,285700,238780,175970,62810,0.642,0.473,0.169,511,59.64,6.5,0.024,0.7934,6.96,7.019,1.038,0.692,0.868,0.074,0.458,5.305,882.3,9.11,0.90,0.810,0.0259,0.336,0.541,0.679,4.622,1317,450.0,0.900,0.5700,24977,36141
B743,Boeing,B747-300,4,no,0,377800,260320,242630,174820,67810,0.642,0.463,0.179,511,59.64,6.5,0.024,0.7826,6.96,6.882,1.042,0.683,0.867,0.073,0.453,5.367,898.8,9.19,0.91,0.810,0.0253,0.337,0.542,0.679,4.992,1449,450.0,0.900,0.5700,24977,36141
B744,Boeing,B747-400,4,no,5,396894,285764,246075,178756,67319,0.620,0.450,0.170,547,64.44,6.5,0.020,0.7934,7.59,6.688,1.029,0.698,0.869,0.074,0.465,6.044,1021.3,9.79,0.82,0.810,0.0245,0.357,0.537,0.684,4.991,1508,450.0,0.920,0.5814,26070,35788
