ICAO,Manufacturer,Type,winglets,Sref/m2,delta_2,cos_sweep,AR,phi_0 ,Xo,wing constant,j_2,j_1,nominal((mf)FI)SLS (kg/s),(M) des,(CT)des,eta_1,eta_2,WV,MTOM (kg),MLM (kg),MMZF (kg),(OEM)i (kg),(MPM)i (kg),MZFM/MTOM,(OEM)i/MTOM,MPM/MTOM,(etaL/D)o
B763,Boeing,B767-300,no,283.3,0.022,0.8526,7.99,6.297,0.989,0.730,0.873,0.077,0.41,0.772,0.0240,0.362,0.538,2,158758,136078,126299,86069,40230,0.796,0.542,0.253,6.16
B764,Boeing,B767-400ER,no,283.3,0.019,0.8526,9.52,7.202,1.016,0.723,0.870,0.075,0.40,0.772,0.0278,0.374,0.534,1,204116,158757,149685,103147,46538,0.733,0.505,0.228,6.36
B772,Boeing,B777-200,no,427.8,0.021,0.8517,8.68,6.462,0.976,0.774,0.873,0.078,0.57,0.811,0.0235,0.375,0.490,6,286900,206350,195030,135600,59430,0.680,0.473,0.207,6.97
B773,Boeing,B777-300,no,427.8,0.021,0.8517,8.68,7.069,0.989,0.767,0.872,0.076,0.56,0.811,0.0258,0.390,0.507,4,299370,237680,224530,159570,64960,0.750,0.533,0.217,6.84
B77L,Boeing,B777-200LR,no,427.8,0.018,0.8517,9.82,6.504,0.986,0.772,0.873,0.078,0.75,0.811,0.0239,0.385,0.486,1,347450,223168,209107,145150,63957,0.602,0.418,0.184,7.56
B77W,Boeing,B777-300ER,no,427.8,0.018,0.8517,9.82,7.159,0.998,0.767,0.872,0.076,0.76,0.811,0.0264,0.420,0.489,1,351530,251290,237673,167820,69853,0.676,0.477,0.199,7.76
B788,Boeing,B787-8,no,360,0.018,0.8462,10.04,6.383,0.968,0.785,0.873,0.077,0.45,0.815,0.0238,0.418,0.445,1,227930,172365,161025,117707,43318,0.706,0.516,0.190,8.32
B789,Boeing,B787-9,no,360,0.018,0.8462,10.04,6.478,0.968,0.785,0.873,0.077,0.45,0.815,0.0238,0.416,0.445,1,254011,192777,181437,128850,52587,0.714,0.507,0.207,8.28
CRJ9,Bombardier,CRJ-9,no,76.15,0.027,0.8988,7.10,7.351,1.001,0.739,0.872,0.076,0.13,0.753,0.0316,0.325,0.533,0,38329,34065,32092,21350,10742,0.837,0.557,0.280,4.46
DC93,Boeing,DC-9-32,no,93,0.028,0.9135,8.70,7.952,1.030,0.719,0.868,0.074,0.27,0.733,0.0343,0.248,0.627,0,48988,44906,39463,25789,13674,0.806,0.526,0.279,3.36
E135,Embraer,EMB-135LR,no,51.18,0.025,0.9239,7.85,8.018,1.012,0.709,0.869,0.074,0.09,0.704,0.0370,0.273,0.541,0,20000,18500,15999,11500,4499,0.800,0.575,0.225,3.43
E145,Embraer,EMB-145LR,no,51.18,0.025,0.9239,7.85,8.380,1.018,0.706,0.868,0.073,0.10,0.704,0.0382,0.299,0.543,0,22000,19300,17900,12114,5786,0.814,0.551,0.263,3.69
E170,Embraer,EMB-170LR,no,72.72,0.031,0.9239,8.80,8.144,1.005,0.742,0.870,0.074,0.13,0.733,0.0355,0.309,0.533,0,37200,32800,29800,20700,9100,0.801,0.556,0.245,4.26
E195,Embraer,EMB-195STD,no,92.53,0.023,0.9239,8.31,8.034,1.001,0.765,0.871,0.075,0.17,0.758,0.0344,0.324,0.534,0,48790,45000,42500,28700,13800,0.871,0.588,0.283,4.55
GLF5,Gulfstream,G-550,no,105.56,0.015,0.9063,7.69,6.702,0.995,0.765,0.873,0.077,0.17,0.772,0.0293,0.376,0.558,0,41277,34155,23587,22882,705,0.571,0.554,0.017,5.63
MD82,Boeing,MD-82,no,112.3,0.021,0.9239,9.61,8.956,1.036,0.744,0.866,0.072,0.27,0.753,0.0380,0.301,0.611,0,67812,58967,55338,35369,19969,0.816,0.522,0.294,4.11
MD83,Boeing,MD-83,no,112.3,0.021,0.9239,9.61,8.856,1.032,0.745,0.867,0.072,0.27,0.753,0.0371,0.313,0.611,0,72575,63276,55338,36145,19193,0.762,0.498,0.264,4.32
RJ1H,BAESystems,RJ-100,no,77.3,0.035,0.9659,8.98,9.769,1.009,0.713,0.869,0.073,0.18,0.676,0.0417,0.274,0.534,0,44225,40142,37421,25640,11781,0.846,0.580,0.266,3.32
