ICAO,Manufacturer,Type,n_engine,winglets,Sref_m2,delta_2,cos_sweep,AR,psi_0,Xo,wing_constant,j_2,j_1,mf_idle_SLS_kg_s,mf_max_T_O_SLS_kg_s,nominal_F00_ISA_kn,M_des,CT_des,eta_1,eta_2,WV,MTOM_kg,MLM_kg,MZFM_kg,OEM_i_kg,MPM_i_kg,MZFM_MTOM,OEM_i_MTOM,MPM_i_MTOM,etaL_D_do,MaxAlt_ft,MMO,span_m,bf_m
B737,Boeing,B737-700,2,no,124.6,0.024,0.9063,9.44,7.611,0.997,0.758,0.871,0.075,0.21,2.18,214.1,0.758,0.0315,0.334,0.531,3,70080,58604,55202,37648,17554,0.788,0.537,0.25,5.174,41000,0.82,34.3,3.76
B738,Boeing,B737-800,2,no,124.6,0.024,0.9063,9.44,8.182,1.005,0.754,0.87,0.074,0.22,2.43,233.4,0.758,0.0335,0.341,0.533,3,79016,66361,61689,41413,20276,0.781,0.524,0.257,5.102,41000,0.82,34.3,3.76
B739,Boeing,B737-900ER,2,no,124.6,0.024,0.9063,9.45,7.928,1,0.756,0.87,0.075,0.22,2.43,233.4,0.758,0.032,0.333,0.533,2,85139,71350,67721,44676,23045,0.795,0.525,0.271,5.132,41000,0.82,34.32,3.76
B742,Boeing,B747-200B,4,no,511,0.024,0.7934,6.96,7.019,1.039,0.707,0.868,0.074,0.9,9.11,882.3,0.83,0.026,0.339,0.541,4,371900,285700,238780,175970,62810,0.642,0.473,0.169,5.426,45000,0.9,59.64,6.5
B743,Boeing,B747-300,4,no,511,0.024,0.7826,6.96,6.882,1.042,0.697,0.867,0.073,0.91,9.19,898.8,0.83,0.0254,0.341,0.542,0,377800,260320,242630,174820,67810,0.642,0.463,0.179,5.494,45000,0.9,59.64,6.5
B744,Boeing,B747-400,4,no,547,0.02,0.7934,7.59,6.688,1.029,0.714,0.869,0.074,0.82,9.79,1021.3,0.83,0.0246,0.36,0.537,5,396894,285764,246075,178756,67319,0.62,0.45,0.17,6.168,45000,0.92,64.44,6.5
B748,Boeing,B747-8F,4,no,594,0.018,0.7934,7.88,6.249,0.998,0.732,0.872,0.077,0.87,9.81,1199.2,0.83,0.0224,0.382,0.468,1,442253,345184,328854,197131,131723,0.744,0.446,0.298,7.111,42100,0.9,68.4,6.5
B752,Boeing,B757-200,2,no,189,0.02,0.9063,7.66,7.102,0.986,0.77,0.874,0.078,0.35,3.64,358,0.772,0.0279,0.362,0.542,4,113400,89800,83450,62100,21350,0.736,0.548,0.188,5.553,42000,0.86,38.06,3.76
B753,Boeing,B757-300,2,no,189,0.02,0.9063,7.66,7.594,0.992,0.767,0.873,0.077,0.35,3.64,358,0.772,0.0297,0.35,0.542,2,122470,101610,95270,64580,30690,0.778,0.527,0.251,5.214,43000,0.86,38.06,3.76
B762,Boeing,B767-200ER,2,no,283.3,0.022,0.8526,7.99,6.963,0.999,0.726,0.871,0.076,0.41,4.86,504.4,0.772,0.0263,0.392,0.538,6,179169,136078,117934,82377,35557,0.658,0.46,0.198,6.312,43000,0.86,47.57,5.03
B763,Boeing,B767-300,2,no,283.3,0.022,0.8526,7.99,6.297,0.989,0.73,0.873,0.077,0.41,4.86,504.4,0.772,0.024,0.362,0.538,2,158758,136078,126299,86069,40230,0.796,0.542,0.253,6.126,43100,0.86,47.57,5.03
B764,Boeing,B767-400ER,2,no,283.3,0.019,0.8526,9.52,7.202,1.016,0.723,0.87,0.075,0.4,4.86,512.8,0.772,0.0278,0.374,0.534,1,204116,158757,149685,103147,46538,0.733,0.505,0.228,6.36,45000,0.86,51.92,5.03
B77L,Boeing,B777-200LR,2,no,427.8,0.018,0.8517,9.82,6.504,0.986,0.772,0.873,0.078,0.75,9.01,1006.5,0.811,0.0239,0.385,0.486,1,347450,223168,209107,145150,63957,0.602,0.418,0.184,7.532,43100,0.89,64.8,6.2
B772,Boeing,B777-200,2,no,427.8,0.021,0.8517,8.68,6.462,0.976,0.774,0.873,0.078,0.57,6.89,781.2,0.811,0.0235,0.375,0.49,6,286900,206350,195030,135600,59430,0.68,0.473,0.207,6.959,43100,0.89,60.93,6.2
B77W,Boeing,B777-300ER,2,no,427.8,0.018,0.8517,9.82,7.159,0.998,0.767,0.872,0.076,0.76,9.38,1027.8,0.811,0.0264,0.42,0.489,1,351530,251290,237673,167820,69853,0.676,0.477,0.199,7.729,43100,0.89,64.8,6.2
B773,Boeing,B777-300,2,no,427.8,0.021,0.8517,8.68,7.069,0.989,0.767,0.872,0.076,0.56,6.87,744.8,0.811,0.0258,0.39,0.507,4,299370,237680,224530,159570,64960,0.75,0.533,0.217,6.813,43100,0.89,60.93,6.2
B788,Boeing,B787-8,2,no,360,0.018,0.8462,10.04,6.383,0.968,0.785,0.873,0.077,0.45,4.82,633,0.815,0.0238,0.418,0.445,1,227930,172365,161025,117707,43318,0.706,0.516,0.19,8.258,43100,0.9,60.12,5.77
B789,Boeing,B787-9,2,no,360,0.018,0.8462,10.04,6.478,0.968,0.785,0.873,0.077,0.45,4.82,633,0.815,0.0238,0.416,0.445,1,254011,192777,181437,128850,52587,0.714,0.507,0.207,8.225,43103,0.9,60.12,5.77
E135,Embraer,EMB-135LR,2,no,51.18,0.025,0.9239,7.85,8.018,1.012,0.709,0.869,0.074,0.09,0.72,66.1,0.704,0.037,0.273,0.541,0,20000,18500,15999,11500,4499,0.8,0.575,0.225,3.414,37000,0.78,20.04,2.25
E145,Embraer,EMB-145LR,2,no,51.18,0.025,0.9239,7.85,8.38,1.018,0.706,0.868,0.073,0.1,0.82,74.3,0.704,0.0382,0.299,0.543,0,22000,19300,17900,12114,5786,0.814,0.551,0.263,3.674,37000,0.78,20.04,2.25
E170,Embraer,EMB-170LR,2,no,72.72,0.031,0.9239,8.8,8.144,1.005,0.742,0.87,0.074,0.13,1.32,120.1,0.733,0.0355,0.309,0.533,0,37200,32800,29800,20700,9100,0.801,0.556,0.245,4.234,41000,0.82,25.3,3.15
E195,Embraer,EMB-195STD,2,no,92.53,0.023,0.9239,8.31,8.034,1.001,0.765,0.871,0.075,0.17,1.67,162,0.758,0.0344,0.324,0.534,0,48790,45000,42500,28700,13800,0.871,0.588,0.283,4.512,41000,0.82,27.73,3
MD82,Boeing,MD-82,2,no,112.3,0.021,0.9239,9.61,8.956,1.036,0.744,0.866,0.072,0.27,2.62,185.5,0.753,0.038,0.301,0.611,0,67812,58967,55338,35369,19969,0.816,0.522,0.294,4.105,37000,0.84,32.85,3.35
MD83,Boeing,MD-83,2,no,112.3,0.021,0.9239,9.61,8.856,1.032,0.745,0.867,0.072,0.27,2.71,193,0.753,0.0371,0.313,0.611,0,72575,63276,55338,36145,19193,0.762,0.498,0.264,4.306,37000,0.84,32.85,3.35
GLF5,Gulfstream,G-550,2,no,105.56,0.015,0.9063,7.69,6.702,0.995,0.765,0.873,0.077,0.17,1.49,137.5,0.772,0.0293,0.376,0.558,0,41277,34155,23587,22882,705,0.571,0.554,0.017,5.607,51000,0.885,28.5,2.5
CRJ9,Bombardier,CRJ-9,2,no,76.15,0.027,0.8988,7.1,7.351,1.001,0.739,0.872,0.076,0.13,1.33,120.9,0.753,0.0316,0.325,0.533,0,38329,34065,32092,21350,10742,0.837,0.557,0.28,4.431,41000,0.85,23.25,2.69
DC93,Boeing,DC-9-32,2,no,93,0.028,0.9135,8.7,7.952,1.03,0.719,0.868,0.074,0.27,2.13,130.5,0.733,0.0343,0.248,0.627,0,48988,44906,39463,25789,13674,0.806,0.526,0.279,3.345,37000,0.84,28.44,3.35
RJ1H,BAESystems,RJ-100,4,no,77.3,0.035,0.9659,8.98,9.769,1.009,0.713,0.869,0.073,0.18,1.43,124,0.676,0.0417,0.274,0.534,0,44225,40142,37421,25640,11781,0.846,0.58,0.266,3.295,35000,0.734,26.34,3.5
B722,Boeing,727-200,3,no,157.9,0.026,0.848,6.86,7.902,1.06,0.734,0.865,0.072,0.42,3.41,203.8,0.83,0.0334,0.286,0.627,0,83820,70100,63560,44390,19170,0.758,0.53,0.229,3.829,42000,0.9,32.92,3.76
A20N,Airbus,A320-NEO,2,yes,122.4,0.021,0.9063,10.07,7.531,0.956,0.786,0.873,0.076,0.18,1.77,255.8,0.753,0.0303,0.376,0.385,54,79000,66300,62800,43600,19200,0.795,0.552,0.243,6.615,41000,0.82,35.1,3.59
A21N,Airbus,A321-NEO,2,yes,122.4,0.025,0.9063,10.16,8.035,0.96,0.785,0.872,0.075,0.18,1.77,255.8,0.753,0.0316,0.346,0.385,52,93500,77300,73000,48000,25000,0.781,0.513,0.267,5.962,39100,0.82,35.27,3.95
