origin,destination,dist_lb,dist_mid,dist_ub,pax_hold_freight_carried_tonnes,pax_hold_freight_capacity_tonnes,dedicated_freight_carried_tonnes,dedicated_freight_capacity_tonnes
Europe,Asia Pacific,3000.0,3500.0,4000.0,3158.265428402997,31582.654284029966,9653.38623,16351.985999999999
Europe,Asia Pacific,4000.0,4500.0,5000.0,7912.50952612964,23108.73471730484,23739.33892953329,31006.47
Europe,Asia Pacific,5000.0,5500.0,6000.0,25656.88852860788,58073.01370179818,80004.24758785135,110875.785
Europe,Asia Pacific,6000.0,6500.0,7000.0,116711.74453111395,256428.8427242003,215055.4139701962,320219.296
Europe,Asia Pacific,7000.0,7500.0,8000.0,189292.04215080812,375361.59723265335,163940.41487942863,217351.601
Europe,Asia Pacific,8000.0,8500.0,9000.0,281180.29064384307,538380.4349916298,447497.89044286456,635002.503
Europe,Asia Pacific,9000.0,9500.0,10000.0,436948.1061566118,970455.5298557424,279179.5133196197,470855.48199999996
Europe,Asia Pacific,10000.0,10500.0,11000.0,122338.2395225981,358960.71030698885,23574.209754569958,39828.356
Europe,Europe,0.0,500.0,1000.0,556691.539102755,5661199.025779915,2007508.8174434965,4822771.015
Europe,Europe,1000.0,1500.0,2000.0,402755.1807606129,4667060.348494272,658384.525631169,1463303.7010000001
Europe,Europe,2000.0,2500.0,3000.0,148390.98243471252,1213106.8961186262,351837.5003581963,579622.186
Europe,Europe,3000.0,3500.0,4000.0,18441.799210271736,318255.4808779847,191911.72801918475,255109.527
Europe,Europe,4000.0,4500.0,5000.0,17684.258933380283,56367.90423530769,90932.26608,99096.708
Europe,Europe,5000.0,5500.0,6000.0,342.1524700245904,10105.195351494736,24117.316350573303,31875.107
Europe,Latin America,6000.0,6500.0,7000.0,44735.33802808846,171220.24312805853,416.21162153832563,624.822
Europe,Latin America,7000.0,7500.0,8000.0,53693.49216563835,186673.86048626108,5851.964217218772,8671.225
Europe,Latin America,8000.0,8500.0,9000.0,67395.97367961436,165639.15506684547,1750.0587168352715,2671.41
Europe,Latin America,9000.0,9500.0,10000.0,164841.0032856406,326973.52731496963,117796.76543900535,189242.412
Europe,Latin America,10000.0,10500.0,11000.0,29309.015065348,81407.125619018,4682.8762400000005,6915.222999999999
Europe,Middle East,0.0,500.0,1000.0,9659.742435418968,125928.44081936289,4072.102036554147,12661.096999999998
