longitude,latitude,time,altitude
-92.442741,34.747009,2023-08-23 21:36:00,10363.2
-92.596611,34.690121,2023-08-23 21:37:00,10363.2
-92.738121,34.637421,2023-08-23 21:38:00,10363.2
-92.877296,34.585419,2023-08-23 21:39:00,10363.2
-93.01432,34.534031,2023-08-23 21:40:00,10363.2
-93.157562,34.480042,2023-08-23 21:41:00,10363.2
-93.299934,34.426163,2023-08-23 21:42:00,10363.2
-93.436592,34.374207,2023-08-23 21:43:00,10363.2
-93.577675,34.320328,2023-08-23 21:44:00,10363.2
-93.722595,34.267101,2023-08-23 21:45:00,10363.2
-93.872856,34.217106,2023-08-23 21:46:00,10363.2
-94.015045,34.169342,2023-08-23 21:47:00,10363.2
-94.14801,34.124405,2023-08-23 21:48:00,10363.2
-94.293411,34.07515,2023-08-23 21:49:00,10248.9
-94.442421,34.024239,2023-08-23 21:50:00,9944.1
-94.587479,33.9748,2023-08-23 21:51:00,9646.92
-94.732872,33.92485,2023-08-23 21:52:00,9349.74
-94.883194,33.872852,2023-08-23 21:53:00,9052.56
-95.028709,33.822281,2023-08-23 21:54:00,8755.38
-95.171646,33.772385,2023-08-23 21:55:00,8465.82
-95.317268,33.721527,2023-08-23 21:56:00,8153.4
-95.465645,33.669159,2023-08-23 21:57:00,7840.98
-95.609589,33.618393,2023-08-23 21:58:00,7528.56
-95.743736,33.570728,2023-08-23 21:59:00,7239.0
-95.880432,33.521893,2023-08-23 22:00:00,6675.12
-96.012604,33.474735,2023-08-23 22:01:00,5768.34
-96.13707,33.429794,2023-08-23 22:02:00,4777.74
-96.259239,33.385822,2023-08-23 22:03:00,3771.9
-96.369827,33.345695,2023-08-23 22:04:00,3543.3
-96.469406,33.310364,2023-08-23 22:05:00,3329.94
-96.564606,33.278915,2023-08-23 22:06:00,2834.6400000000003
-96.666336,33.271088,2023-08-23 22:07:00,2430.78
-96.761414,33.256359,2023-08-23 22:08:00,1996.44
-96.852554,33.236065,2023-08-23 22:09:00,1790.7
-96.935455,33.205711,2023-08-23 22:10:00,1463.04
-96.987907,33.151108,2023-08-23 22:11:00,1234.44
-97.008675,33.09613,2023-08-23 22:12:00,1211.58
-97.008942,33.043941,2023-08-23 22:13:00,944.88
-97.009109,32.992447,2023-08-23 22:14:00,662.94
-97.00956,32.946274,2023-08-23 22:15:00,419.1
-97.009727,32.903263,2023-08-23 22:16:00,190.5
